Customer_ID;Order_Date;Order_Value;Discount_Used
CUST014;2025-12-17;161.31;14.54
CUST014;2025-06-11;245.9;0.0
CUST014;2025-09-14;103.02;33.45
CUST014;2025-08-12;211.84;42.27
CUST014;2025-11-27;179.2;0.0
CUST014;2025-04-06;104.82;49.12
CUST014;2025-05-04;136.95;33.08
CUST014;2025-10-25;119.02;0.0
CUST014;2025-07-28;196.86;0.0
CUST014;2025-08-10;161.16;0.0
CUST014;2025-04-24;54.2;5.91
CUST014;2025-05-09;213.8;0.0
CUST015;2025-06-30;44.03;26.59
CUST015;2025-08-07;229.91;0.0
CUST015;2025-01-08;62.66;27.91
CUST015;2025-06-18;218.14;6.1
CUST015;2025-01-25;222.02;29.72
CUST015;2025-01-21;194.27;7.88
CUST015;2025-03-04;178.53;0.0
CUST015;2025-12-13;217.61;7.93
CUST015;2025-05-06;169.65;16.62
CUST015;2025-01-27;96.43;0.0
CUST015;2025-09-10;201.14;0.0
CUST015;2025-10-22;114.0;0.0
CUST016;2025-10-24;62.02;0.0
CUST016;2025-05-13;137.17;0.0
CUST016;2025-07-27;51.78;0.0
CUST016;2025-02-06;238.55;29.5
CUST016;2025-07-28;49.83;0.0
CUST016;2025-01-08;200.33;46.21
CUST016;2025-01-30;99.76;0.0
CUST016;2025-11-09;122.81;0.0
CUST016;2025-02-27;22.55;0.0
CUST016;2025-01-08;32.22;0.0
CUST016;2025-12-04;217.61;23.45
CUST016;2025-01-26;91.32;31.31
CUST016;2025-11-05;239.29;31.03
CUST016;2025-03-12;234.92;9.82
CUST016;2025-02-07;102.23;0.0
CUST017;2025-07-24;146.94;0.0
CUST017;2025-04-07;116.03;0.0
CUST017;2025-02-21;231.12;0.0
CUST017;2025-03-23;191.8;0.0
CUST017;2025-01-19;137.18;11.47
CUST017;2025-10-05;27.33;26.13
CUST017;2025-09-23;207.33;0.0
CUST017;2025-12-10;221.35;0.0
CUST017;2025-06-08;46.02;12.02
CUST017;2025-05-02;68.35;0.0
CUST017;2025-08-24;181.23;20.23
CUST018;2025-05-18;230.54;7.58
CUST018;2025-08-06;243.37;40.79
CUST018;2025-04-24;25.53;0.0
CUST018;2025-11-25;138.81;0.0
CUST018;2025-03-30;192.89;36.94
CUST018;2025-08-28;86.07;8.22
CUST018;2025-02-16;82.32;14.97
CUST018;2025-01-16;178.32;0.0
CUST018;2025-11-25;41.04;31.47
CUST018;2025-03-18;79.73;9.48
CUST018;2025-09-02;100.58;40.25
CUST019;2025-07-26;83.61;35.58
CUST019;2025-06-11;65.52;49.42
CUST019;2025-03-15;216.74;35.03
CUST019;2025-10-17;44.82;11.99
CUST019;2025-09-14;187.4;0.0
CUST019;2025-07-19;184.54;31.06
CUST019;2025-10-25;142.31;0.0
CUST019;2025-01-17;98.81;25.64
CUST019;2025-08-02;56.06;0.0
CUST019;2025-03-08;137.77;0.0
CUST019;2025-09-05;21.46;0.0
CUST019;2025-05-01;32.46;0.0
CUST019;2025-04-25;121.6;34.84
CUST020;2025-03-21;170.76;0.0
CUST020;2025-01-06;213.38;35.91
CUST020;2025-08-12;24.5;0.0
CUST020;2025-06-29;90.96;0.0
CUST020;2025-10-11;29.91;7.73
CUST020;2025-06-29;174.09;46.41
CUST020;2025-01-04;183.64;0.0
CUST020;2025-08-11;121.84;0.0
CUST020;2025-05-23;133.29;0.0
CUST020;2025-07-03;68.24;18.52
CUST020;2025-01-10;99.53;32.35
CUST020;2025-05-15;199.78;0.0
CUST020;2025-03-04;202.44;27.28
CUST020;2025-10-29;122.42;33.05
CUST020;2025-06-21;248.9;43.35
CUST020;2025-02-18;249.41;0.0
CUST020;2025-09-03;154.41;44.14
CUST020;2025-10-14;146.19;0.0
CUST020;2025-10-20;81.22;13.09
CUST020;2025-08-20;20.81;0.0
